text,category
"Warren Buffett's Berkshire Hathaway annual meeting draws 40000 shareholders to Omaha for the 59th year. Cash reserves hit record 189 billion dollars awaiting deployment. The 93-year-old investor answered questions for six hours on his philosophy.","business"
"European Central Bank cuts interest rates for third consecutive meeting as inflation returns to target. Deposit facility rate now stands at 2.75 percent. GDP growth is projected to recover to 1.2 percent next year.","business"
"Taylor Swift Eras Tour becomes the highest-grossing concert tour in history surpassing 2 billion dollars. The 21-month world tour played 151 shows across six continents. Economic impact studies showed 5 billion in local activity.","entertainment"
"Video game industry surpasses film box office globally for first time with 220 billion dollars in revenue. Mobile gaming accounts for 45 percent of total market value. Esports prize pools now rival traditional sports tournaments.","entertainment"
"Legendary rock band The Rolling Stones release first studio album in 18 years to critical acclaim. The record features contributions from late drummer Charlie Watts recorded before his death. It debuted at number one in 32 countries.","entertainment"
"Cannes Film Festival selects 15 films from emerging markets for the main competition for first time. The selection includes directors from Nigeria Ethiopia Vietnam and Colombia. Festival director emphasized commitment to reflecting global cinema.","entertainment"
"Streaming service HBO Max orders 15 new original series following record subscriber growth. Budget commitment totals 4 billion dollars across prestige drama limited series and comedy formats. Priority includes adapting several acclaimed novels.","entertainment"
"Landmark study links ultra-processed food consumption to 32 distinct adverse health outcomes including dementia. The cohort study followed 500000 UK Biobank participants for 15 years. Researchers recommend dietary guidelines explicitly limit ultra-processed food intake.","health"
"Psychedelic-assisted therapy receives expanded FDA approval for treatment-resistant PTSD and major depression. Licensed treatment centers must meet strict protocols for therapist training. Insurance coverage mandates are under consideration in six states.","health"
"World first malaria vaccine deployed at scale across sub-Saharan Africa showing 75 percent efficacy in children. The vaccine is administered in four doses before age two. Modeling suggests 40000 childhood deaths per year could be prevented.","health"
"Loneliness declared a public health epidemic by US Surgeon General with 50 percent of adults reporting social isolation. Health impacts are comparable to smoking 15 cigarettes daily. Policy recommendations include community connection infrastructure investment.","health"
"New antibiotic discovered in soil bacteria using machine learning analysis of environmental microbiome data. The compound kills drug-resistant bacteria without detectable resistance in laboratory trials. Clinical development pathway could see it available within seven years.","health"
"Antarctic ice sheet loses record 3 trillion tons of ice in a single calendar year according to satellite measurements. Sea level rise contribution exceeded projections from best available models. Feedback mechanisms are accelerating beyond linear extrapolations.","science"
"Scientists synthesize first entirely artificial chromosome in yeast demonstrating modular genetic programming. The synthetic chromosome contains 272000 base pairs without any natural DNA. The achievement is a milestone for the international synthetic yeast project.","science"
"Artificial photosynthesis system converts sunlight and carbon dioxide to liquid fuel at record 18 percent efficiency. The photoelectrochemical device uses earth-abundant catalysts rather than precious metals. Scale-up to commercial production is targeted within three years.","science"
